,Symbol,Date,Walrasian Price
589,CL ,901116.0,67.0
590,MON,901220.0,0.46875
591,CMI,901220.0,inf
592,GBE,901114.0,1.625
593,ARX,910128.0,inf
594,PRI,901113.0,13.125
595,ZNT,901128.0,11.0
596,EHP,910115.0,7.0
597,BZF,910121.0,7.625
598,FPL,901203.0,27.375
599,AYD,901221.0,inf
600,KFV,901226.0,11.75
601,ICM,901116.0,3.75
602,RDA,910121.0,27.875
603,CPY,901221.0,28.375
604,CYM,901109.0,14.125
605,DLT,910128.0,15.875
606,GE ,910123.0,57.25
607,PPL,910102.0,43.375
608,HTR,910116.0,10.25
609,SJI,910131.0,18.5
610,BMC,901224.0,4.0
611,ALL,901219.0,9.125
612,KFV,910116.0,11.125
613,GLX,901231.0,33.0
614,PIM,901115.0,6.625
615,CMH,910131.0,15.0
616,CPY,901107.0,26.0
617,DI ,901127.0,20.0
618,GRH,901226.0,2.375
619,ALL,910125.0,9.0
620,CMY,901123.0,29.5
621,SNT,901210.0,50.0
622,FNM,901105.0,29.75
623,SWY,901129.0,12.375
624,UMG,901128.0,inf
625,CLE,901228.0,9.625
626,UEP,910129.0,29.375
627,EMC,910102.0,8.0
628,OEH,910129.0,3.0
629,BRT,901120.0,2.75
630,CMH,901226.0,inf
631,FPL,901113.0,28.125
632,NI ,901128.0,18.625
633,NIC,901219.0,7.5
634,IEI,901105.0,22.0
635,ZIF,910103.0,5.0
636,AMO,901227.0,8.875
637,NIC,901106.0,inf
638,HE ,901112.0,29.5
639,HFI,901220.0,9.0
640,DCN,901228.0,29.375
641,ATE,901115.0,34.0
642,ALX,901211.0,inf
643,AMO,910118.0,8.875
644,TXI,901130.0,12.25
645,AMN,910109.0,37.5
646,KR ,901121.0,12.5
647,FMI,901211.0,inf
648,ATE,910123.0,33.125
649,OCQ,901226.0,9.0
650,GBE,910111.0,1.25
651,PPL,901204.0,inf
652,HE ,910118.0,inf
653,NT ,901112.0,25.5
654,DP ,901106.0,24.75
655,SNT,901120.0,52.0
656,POM,910123.0,20.125
657,GMH,910107.0,18.875
658,ALX,901127.0,23.5
659,ZNT,901227.0,inf
660,ADU,901231.0,0.25
661,NSO,901116.0,inf
662,DBD,901207.0,37.75
663,REC,910116.0,4.75
664,SAH,910107.0,5.0
665,CL ,901102.0,67.375
666,PIM,901231.0,6.75
667,EMC,901128.0,8.5
668,NIC,901107.0,inf
669,BZF,910111.0,7.125
670,FPL,901213.0,28.75
671,FOE,901114.0,19.5
672,ICM,901106.0,inf
673,ACN,910115.0,25.0
674,NNP,901203.0,14.25
675,PH ,901219.0,23.875
676,DLT,910114.0,inf
677,GPI,901107.0,inf
678,AMO,901126.0,9.75
679,GRH,901129.0,2.875
680,HTR,910130.0,10.625
681,BMC,901210.0,4.0
682,WCS,910131.0,20.625
683,SPF,910118.0,5.25
684,FFB,901115.0,16.25
685,WCS,901231.0,inf
686,LOG,901203.0,19.375
687,NI ,910125.0,inf
688,PMI,910107.0,inf
689,DI ,901129.0,20.0
690,DSI,901107.0,10.25
691,PLP,910103.0,26.125
692,MDP,901105.0,inf
693,WAE,901221.0,inf
694,AMN,901129.0,38.0
695,MDP,901206.0,23.5
696,FBO,901231.0,18.25
697,CUE,901210.0,12.625
698,DSI,901220.0,11.0
699,PLP,901213.0,26.625
700,HE ,910110.0,inf
701,FLP,901206.0,inf
702,WHX,901221.0,inf
703,GMH,901231.0,18.0
704,NI ,901126.0,18.25
705,BA ,901218.0,44.875
706,GE ,901206.0,57.75
707,NNP,901108.0,14.375
708,ITG,910109.0,inf
709,FFB,910130.0,19.25
710,UWR,901214.0,11.25
711,PCO,901224.0,18.75
712,CUE,910115.0,12.25
713,EMC,901213.0,7.875
714,WCS,910103.0,19.625
715,AMD,910122.0,5.875
716,BG ,901121.0,22.5
717,XON,901219.0,50.75
718,CU ,901213.0,20.75
719,LPX,901127.0,24.75
720,GRH,910109.0,inf
721,FOE,910107.0,18.0
722,PMI,901226.0,17.375
723,UAM,901206.0,inf
724,FNM,910109.0,34.25
725,PPL,901210.0,43.125
726,PCO,901121.0,18.25
727,BRT,910128.0,3.0
728,PH ,901113.0,22.0
729,TEK,901221.0,18.375
730,ACS,910104.0,inf
731,LUK,901226.0,22.5
732,GPI,901108.0,inf
733,VCC,910131.0,1.375
734,PMI,901115.0,14.5
735,ZNT,901221.0,12.5
736,KWD,901113.0,7.625
737,ZIF,901127.0,4.625
738,CMY,910121.0,27.25
739,GPI,901228.0,inf
740,ITG,901123.0,inf
741,MNY,901213.0,10.625
742,AR ,901231.0,27.375
743,FMI,910123.0,7.375
744,ARX,910108.0,1.375
745,BRT,910111.0,inf
746,FPL,901231.0,29.125
747,HE ,901231.0,31.625
748,PEO,901214.0,inf
749,IS ,910125.0,inf
750,NNP,901221.0,inf
751,KR ,901212.0,13.5
752,VCC,910117.0,1.5
753,ACS,901221.0,16.875
754,COA,910103.0,3.75
755,MX ,901105.0,15.625
756,CPC,901218.0,80.125
757,UTD,910109.0,inf
758,REC,901205.0,5.0
759,USH,910115.0,27.125
760,SLT,901127.0,2.125
761,AMN,901119.0,34.875
762,FFB,901101.0,13.125
763,SAH,901105.0,9.0
764,ACS,910117.0,16.75
765,NSI,910128.0,24.125
766,NI ,910107.0,inf
767,UAM,910123.0,15.125
768,UAM,910129.0,17.0
769,FNM,901231.0,35.0
770,BRT,901205.0,3.125
771,IS ,901126.0,inf
772,BA ,910130.0,46.75
773,AC ,901206.0,14.625
774,AMN,901127.0,38.0
775,DLT,910102.0,6.0
776,NI ,901221.0,19.0
777,FNM,910128.0,38.375
778,DI ,910129.0,22.25
779,CPY,901204.0,26.375
780,PLP,910131.0,24.75
781,CYM,901219.0,17.125
782,BG ,910124.0,23.75
783,AC ,910108.0,16.0
